sample_1,sample_2,community_distance,ocean_distance_km,east_or_west_1,habitat_1,east_or_west_2,habitat_2,metric
S71,S38,0.9975608931425242,324.2964645562816,east,coral,east,mangrove,unifrac
S73,S38,0.9844430185451384,324.2964645562816,east,coral,east,mangrove,unifrac
S74,S38,0.9891340405228997,324.2964645562816,east,coral,east,mangrove,unifrac
S75,S38,0.9846616817551379,324.2964645562816,east,coral,east,mangrove,unifrac
S77,S38,0.956234850756257,300.811183182043,east,coral,east,mangrove,unifrac
S78,S38,0.9403219515611396,300.811183182043,east,coral,east,mangrove,unifrac
S80,S38,0.9832618108229159,300.811183182043,east,coral,east,mangrove,unifrac
S81,S38,0.9527635681310227,295.1959594928933,east,mangrove,east,mangrove,unifrac
S82,S38,0.9609358227300182,295.1959594928933,east,mangrove,east,mangrove,unifrac
S83,S38,0.9505539556002263,295.1959594928933,east,mangrove,east,mangrove,unifrac
S84,S38,0.9445111018100485,295.1959594928933,east,mangrove,east,mangrove,unifrac
S85,S38,0.9463759545974053,295.1959594928933,east,mangrove,east,mangrove,unifrac
S86,S38,0.9400422422489007,884.0214280248045,west,mangrove,east,mangrove,unifrac
S87,S38,0.9458611840080704,884.0214280248045,west,mangrove,east,mangrove,unifrac
S88,S38,0.9578874037623021,884.4356415871778,west,mangrove,east,mangrove,unifrac
S89,S38,0.94392470269954,884.4356415871778,west,mangrove,east,mangrove,unifrac
S90,S38,0.9379669864913741,884.4356415871778,west,mangrove,east,mangrove,unifrac
S91,S38,0.9608484634681097,900.364573775312,west,seagrass,east,mangrove,unifrac
S92,S38,0.9426414159631339,899.364573775312,west,seagrass,east,mangrove,unifrac
S93,S38,0.9582990859307898,899.364573775312,west,seagrass,east,mangrove,unifrac
S94,S38,0.9420018740632685,900.364573775312,west,seagrass,east,mangrove,unifrac
S95,S38,0.946757046157375,900.364573775312,west,seagrass,east,mangrove,unifrac
S96,S38,0.9355168059902159,868.0458146424431,west,mangrove,east,mangrove,unifrac
S97,S38,0.9473959940376345,868.0458146424431,west,mangrove,east,mangrove,unifrac
S98,S38,0.9531234469137561,868.0458146424431,west,mangrove,east,mangrove,unifrac
S99,S38,0.9587624814095113,868.0458146424431,west,mangrove,east,mangrove,unifrac
S100,S38,0.9519066012037208,869.0458146424431,west,mangrove,east,mangrove,unifrac
S101,S38,0.9243933087016102,802.2884553295632,west,coral,east,mangrove,unifrac
S102,S38,0.9320212253387197,803.5310960166826,west,coral,east,mangrove,unifrac
S103,S38,0.9180233489633016,803.9453095790557,west,coral,east,mangrove,unifrac
S104,S38,0.9523784658641661,805.5310960166825,west,coral,east,mangrove,unifrac
S105,S38,0.9496078981614817,803.7026688919364,west,coral,east,mangrove,unifrac
S106,S38,0.9219732033841206,637.9087296525983,west,mangrove,east,mangrove,unifrac
S107,S38,0.9254718050129377,637.4945160902251,west,mangrove,east,mangrove,unifrac
S108,S38,0.9162566522726427,636.4945160902251,west,mangrove,east,mangrove,unifrac
S109,S38,0.9174879335559042,636.0803025278522,west,mangrove,east,mangrove,unifrac
S110,S38,0.949513033803614,636.0803025278522,west,mangrove,east,mangrove,unifrac
S40,S39,0.7132550319421772,1.4142135623730951,east,mangrove,east,mangrove,unifrac
S41,S39,0.938790606657392,109.65685424949237,east,coral,east,mangrove,unifrac
