sample_1,sample_2,distance,pair_id,original_sample_id_1,habitat_1,coast_1,site_1,latitude_1,longitude_1,original_sample_id_2,habitat_2,coast_2,site_2,latitude_2,longitude_2,same_habitat,same_coast,same_site,pair_category
S2,S11,0.6575156088179495,S11__S2,2,Mangrove,West,Man_Kukup,1.339308,103.417687,11,Mangrove,West,Man_PPAF,2.400972,101.954072,TRUE,TRUE,FALSE,Same habitat / same coast
S2,S12,0.6500842945545663,S12__S2,2,Mangrove,West,Man_Kukup,1.339308,103.417687,12,Mangrove,West,Man_PPAF,2.404443,101.949849,TRUE,TRUE,FALSE,Same habitat / same coast
S2,S13,0.6125231911959087,S13__S2,2,Mangrove,West,Man_Kukup,1.339308,103.417687,13,Mangrove,West,Man_PPAF,2.40735,101.945124,TRUE,TRUE,FALSE,Same habitat / same coast
S2,S14,0.6814453664819977,S14__S2,2,Mangrove,West,Man_Kukup,1.339308,103.417687,14,Mangrove,West,Man_PPAF,2.408991,101.942416,TRUE,TRUE,FALSE,Same habitat / same coast
S2,S15,0.6454760012587989,S15__S2,2,Mangrove,West,Man_Kukup,1.339308,103.417687,15,Mangrove,West,Man_PPAF,2.412531,101.939708,TRUE,TRUE,FALSE,Same habitat / same coast
S2,S16,0.5946991965898342,S16__S2,2,Mangrove,West,Man_Kukup,1.339308,103.417687,16,Coral,West,Cor_ PB_PP,2.416537,101.886223,FALSE,TRUE,FALSE,Different habitat / same coast
S2,S17,0.5498860460218944,S17__S2,2,Mangrove,West,Man_Kukup,1.339308,103.417687,17,Coral,West,Cor_ PB_PP,2.415967,101.889648,FALSE,TRUE,FALSE,Different habitat / same coast
S2,S18,0.5588846919918045,S18__S2,2,Mangrove,West,Man_Kukup,1.339308,103.417687,18,Coral,West,Cor_ PB_PP,2.414291,101.892398,FALSE,TRUE,FALSE,Different habitat / same coast
S2,S19,0.5167384924665894,S19__S2,2,Mangrove,West,Man_Kukup,1.339308,103.417687,19,Coral,West,Cor_ PB_PP,2.413761,101.895526,FALSE,TRUE,FALSE,Different habitat / same coast
S2,S20,0.5695283224818034,S2__S20,2,Mangrove,West,Man_Kukup,1.339308,103.417687,20,Coral,West,Cor_ PB_PP,2.417129,101.883533,FALSE,TRUE,FALSE,Different habitat / same coast
S2,S21,0.9350733168636348,S2__S21,2,Mangrove,West,Man_Kukup,1.339308,103.417687,21,Mangrove,East,Man_Pulau_Tinggi,2.287462,104.109177,TRUE,FALSE,FALSE,Same habitat / different coast
S2,S22,0.8423992298515798,S2__S22,2,Mangrove,West,Man_Kukup,1.339308,103.417687,22,Mangrove,East,Man_Pulau_Tinggi,2.289198,104.110969,TRUE,FALSE,FALSE,Same habitat / different coast
